start_time,station_id,location_type,energy_delivered,session_duration_hr,charging_time_hr,utilization_rate,revenue,queue_proxy,hour,day_of_week,month,is_weekend,predicted_demand,recommended_price,current_revenue,dynamic_revenue,status,idle_time_hr,rush_hour,tou_period,utilization_band,util_multiplier,rush_multiplier,tou_multiplier,weekend_multiplier,idle_penalty,pricing_score,score_norm,new_dynamic_price,final_price,idle_rate_per_min,chargeable_idle_min,new_revenue,new_revenue_with_idle,baseline_revenue
2022-07-15 19:15:00,108,urban_public,8.75,1.333333333,,0.0727272727272727,8.6625,16,19.0,Friday,7.0,0,12.884851920351805,13.5,131.25,118.125,Healthy,,1,peak_grid,low,0.8,1.3,1.1,1.0,0.0,1.144,0.3631380609797875,16.09,,1.0,,140.7875,140.7875,118.125
2022-07-09 21:15:00,1122,urban_public,2.916666667,0.416666667,,0.0318181818181818,2.86927083366125,7,21.0,Saturday,7.0,1,3.65542454898446,12.0,43.750000005,35.000000004,Underutilized,,1,peak_grid,low,0.8,1.3,1.1,1.1,0.0,1.2584000000000002,0.461116820829051,16.38,,1.0,,47.77500000546,47.77500000546,39.3750000045
2022-07-17 11:55:00,1149,urban_public,5.833333333,0.833333333,,0.0681818181818181,5.920833332994999,15,11.0,Sunday,7.0,1,11.661529264084376,13.5,87.499999995,78.74999999549999,Healthy,,0,solar_discount,low,0.8,1.0,0.9,1.1,0.0,0.7920000000000001,0.0616649537512847,15.18,,0.25,,88.54999999494,88.54999999494,78.74999999549999
2022-07-03 04:55:00,705,urban_public,6.416666667,0.916666667,,0.0545454545454545,6.600000003092858,12,4.0,Sunday,7.0,1,7.538577225921213,12.0,96.250000005,77.000000004,Underutilized,,0,normal,low,0.8,1.0,1.0,1.1,0.0,0.8800000000000001,0.1370332305584104,15.41,,0.0,,98.88083333847,98.88083333847,86.62500000450001
2022-06-28 06:15:00,891,urban_public,106.6666667,1.166666667,,0.0681818181818181,123.86133337204,15,6.0,Tuesday,6.0,0,27.07518820119133,13.5,1600.0000005,1440.00000045,Healthy,,0,normal,low,0.8,1.0,1.0,1.0,0.0,0.8,0.0685166152792051,15.21,,0.5,,1622.400000507,1622.400000507,1440.00000045
2022-07-04 20:30:00,989,urban_public,11.66666667,1.833333333,,0.1045454545454545,12.29666667018,23,20.0,Monday,7.0,0,23.792721897420247,13.5,175.00000004999998,157.500000045,Healthy,,1,peak_grid,low,0.8,1.3,1.1,1.0,0.0,1.144,0.3631380609797875,16.09,,1.0,,187.7166667203,187.7166667203,157.500000045
2022-07-18 17:40:00,577,urban_public,0.775833333,0.110833333,,0.0045454545454545,0.9309999996,1,17.0,Monday,7.0,0,0.957122419930814,12.0,11.637499995,9.309999996,Underutilized,,1,normal,low,0.8,1.3,1.0,1.0,0.0,1.04,0.2740664611168207,15.82,,1.0,,12.27368332806,12.27368332806,10.4737499955
2022-07-17 11:55:00,1029,urban_public,63.46666667,0.528888889,,0.1272727272727272,92.0266666715,28,11.0,Sunday,7.0,1,63.76266666569998,13.5,952.00000005,856.800000045,Healthy,,0,solar_discount,low,0.8,1.0,0.9,1.1,0.0,0.7920000000000001,0.0616649537512847,15.18,,0.25,,963.4240000506,963.4240000506,856.800000045
2022-07-14 12:50:00,848,urban_public,1.166666667,0.166666667,,0.009090909090909,0.9333333336,2,12.0,Thursday,7.0,0,1.6963921338160777,12.0,17.500000005,14.000000004,Underutilized,,0,solar_discount,low,0.8,1.0,0.9,1.0,0.0,0.7200000000000001,0.0,15.0,,0.25,,17.500000005,17.500000005,15.750000004500002
2022-07-02 17:15:00,897,urban_public,1.166666667,0.166666667,,0.0181818181818181,1.380555555561111,4,17.0,Saturday,7.0,1,2.3429685676875267,12.0,17.500000005,14.000000004,Underutilized,,1,normal,low,0.8,1.3,1.0,1.1,0.0,1.144,0.3631380609797875,16.09,,1.0,,18.77166667203,18.77166667203,15.750000004500002
2022-07-18 17:30:00,701,urban_public,1.166666667,0.166666667,,0.009090909090909,1.4583333337500002,2,17.0,Monday,7.0,0,2.19963243153286,12.0,17.500000005,14.000000004,Underutilized,,1,normal,low,0.8,1.3,1.0,1.0,0.0,1.04,0.2740664611168207,15.82,,1.0,,18.456666671940003,18.456666671940003,15.750000004500002
2022-06-23 13:25:00,862,urban_public,0.0,0.0,,0.0,0.0,0,13.0,Thursday,6.0,0,0.0,12.0,0.0,0.0,Underutilized,,0,solar_discount,low,0.8,1.0,0.9,1.0,0.0,0.7200000000000001,0.0,15.0,,0.25,,0.0,0.0,0.0
